PL_Code,Description,Inventory_Action,Normalized_Inventory_Value,Movement_Status,Source_Universe,Inventory_Value,Inventory_Domain,Business_Unit,Division,Depot,Snapshot_Date,Pipeline_Version
430200024879,Digital Clamp meter  AC/DC with digital display counts t: 3 3/4 true RMS value suitable f....,Dispose,0.0,Dead Stock,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
430200024879,Digital Clamp meter  AC/DC with digital display counts t: 3 3/4 true RMS value suitable f....,Rationalize,48234.0,Slow Moving,Operational,48234.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
430200024879,Digital Clamp meter  AC/DC with digital display counts t: 3 3/4 true RMS value suitable f....,Rationalize,0.0,Slow Moving,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
430200024879,Digital Clamp meter  AC/DC with digital display counts t: 3 3/4 true RMS value suitable f....,Rationalize,0.0,Slow Moving,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
430201610016,Hand Held 600 V Insulation Tester. Make :- YOKINS (YOK-IT-HDG-MB-500V-500MOHMS) or Similar....,Rationalize,2596.0,Slow Moving,Operational,2596.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
430500087380,Digital Earth Clamp tester 4 digit LCD digital display with 47 mm(L) x 28.5mm(W) Jaw size:....,Rationalize,142259.58,Slow Moving,Operational,142259.58,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
430500402909,Digital megger 500V (INSULATION TESTER) MODEL DIT-90 SR NO. 965476,Retain,3220.0,Active,Operational,3220.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
430506510017,"Digital Earth Resistance Meter with LCD display, Auto Ranging, 3 Pole method of measuremen....",Retain,13800.0,Active,Operational,13800.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
430517950010,"600V, 1000A True RMS clamp on meter (RISH clamp 1000A AC-DC)",Rationalize,67020.58,Slow Moving,Operational,67020.58,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
430800091284,KUSAM MECO INFRARED THERMO METER MODEL KM IRL 1100,Rationalize,18052.0,Slow Moving,Operational,18052.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
431500731485,SERVO VOLTAGE STABLIZER,Dispose,0.0,Dead Stock,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
432100010029,Blower UB 1100( for cleaning panel by blowing air),Rationalize,1402.43,Slow Moving,Operational,1402.43,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
432500150219,Rechargeable Hand Hold LED Torch.,Retain,40990.24,Active,Operational,40990.24,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
432500710018,LED TORCH LIGHT HEAD YPE,Rationalize,8772.0,Slow Moving,Operational,8772.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
432900230899,Distilled Water Plant,Dispose,1500.0,Dead Stock,Operational,1500.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
432900990020,"Supply ,Installation , Commissioning and Testing of split core structure, non contact meas....",Rationalize,0.0,Slow Moving,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
439000010383,WOODEN TABLE SMALL TEAPOY,Dispose,0.0,Dead Stock,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
439000051038,DIGITAL Earth Resistance Tester,Rationalize,0.0,Slow Moving,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
439002170067,"HIMALAYAN POWER PETROL START, PETROL RUN POWER GENERATOR AND PORTABLE GENERATORS",Rationalize,0.0,Slow Moving,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
