PL_Code,Description,Current_Stock,Inventory_Value,Days_Since_Movement,Depot,Inventory_Domain,Business_Unit,Division,Snapshot_Date,Pipeline_Version
721800030080,CUTTING PLIERS 6,9.0,1800.0,1693,SSE/S/SRM/TPJ077355-S AND T-SR,Railway_Operations,TPJ,Tiruchirappalli,2026-03-31,12.5.0
727901770711,Tri Color Hand Torch Light,3.0,1740.0,1110,SSE/S/SRM/TPJ077355-S AND T-SR,Railway_Operations,TPJ,Tiruchirappalli,2026-03-31,12.5.0
745010580090,Lock Brass,17.0,1700.0,1693,SSE/S/SRM/TPJ077355-S AND T-SR,Railway_Operations,TPJ,Tiruchirappalli,2026-03-31,12.5.0
409000511438,PEDASTAL FANS,2.0,1600.0,1693,SSE/S/SRM/TPJ077355-S AND T-SR,Railway_Operations,TPJ,Tiruchirappalli,2026-03-31,12.5.0
565199032324,Released Inverter 110V DC / 230V,2.0,1600.0,1086,SSE/S/SRM/TPJ077355-S AND T-SR,Railway_Operations,TPJ,Tiruchirappalli,2026-03-31,12.5.0
539855720010,Generator Portable,1.0,1500.0,1693,SSE/S/SRM/TPJ077355-S AND T-SR,Railway_Operations,TPJ,Tiruchirappalli,2026-03-31,12.5.0
570100822428,CPU HCL make,1.0,1500.0,1692,SSE/S/SRM/TPJ077355-S AND T-SR,Railway_Operations,TPJ,Tiruchirappalli,2026-03-31,12.5.0
432900230899,Distilled Water Plant,1.0,1500.0,1693,SSE/S/SRM/TPJ077355-S AND T-SR,Railway_Operations,TPJ,Tiruchirappalli,2026-03-31,12.5.0
565199410021,Data Logger RTU Fault Analysis Software,1.0,1500.0,783,SSE/S/SRM/TPJ077355-S AND T-SR,Railway_Operations,TPJ,Tiruchirappalli,2026-03-31,12.5.0
727901391219,Platform weighing machine 1000 kg,1.0,1500.0,1692,SSE/S/SRM/TPJ077355-S AND T-SR,Railway_Operations,TPJ,Tiruchirappalli,2026-03-31,12.5.0
727900038706,Bench Vice  5,2.0,1500.0,1692,SSE/S/SRM/TPJ077355-S AND T-SR,Railway_Operations,TPJ,Tiruchirappalli,2026-03-31,12.5.0
56985710,CONTRACTOR UNIT ASSEMBLY,13.0,1456.0,1333,SSE/S/SRM/TPJ077355-S AND T-SR,Railway_Operations,TPJ,Tiruchirappalli,2026-03-31,12.5.0
40071110,CABLE PVC INSULATED UNARMOURED SINGLE CORE MULTI STRAND COPPER CONDUCTOR OF SIZE 1.5 SQMM ....,100.0,1400.0,1097,SSE/S/SRM/TPJ077355-S AND T-SR,Railway_Operations,TPJ,Tiruchirappalli,2026-03-31,12.5.0
539802230011,PVC Pipe 25 mm,10.0,1120.0,1671,SSE/S/SRM/TPJ077355-S AND T-SR,Railway_Operations,TPJ,Tiruchirappalli,2026-03-31,12.5.0
56300128,LOCK ROD LUG & DETECTOR ROD LUG IN SET FOR GROUND CONNECTION. ONE SET COMPRISING OF (a) LO....,8.0,1088.0,1100,SSE/S/SRM/TPJ077355-S AND T-SR,Railway_Operations,TPJ,Tiruchirappalli,2026-03-31,12.5.0
543400060026,ROD JOINT [ EYE JOINT ],34.0,1020.0,986,SSE/S/SRM/TPJ077355-S AND T-SR,Railway_Operations,TPJ,Tiruchirappalli,2026-03-31,12.5.0
565000090130,B type CHOKE,1.0,1000.0,1292,SSE/S/SRM/TPJ077355-S AND T-SR,Railway_Operations,TPJ,Tiruchirappalli,2026-03-31,12.5.0
561300760480,Released Block Bell equipment,2.0,1000.0,1303,SSE/S/SRM/TPJ077355-S AND T-SR,Railway_Operations,TPJ,Tiruchirappalli,2026-03-31,12.5.0
570103410010,Computer monitor TFT-18.5 MAKE-HCL,1.0,1000.0,1692,SSE/S/SRM/TPJ077355-S AND T-SR,Railway_Operations,TPJ,Tiruchirappalli,2026-03-31,12.5.0
543600060010,LAMP stand.,9.0,900.0,1110,SSE/S/SRM/TPJ077355-S AND T-SR,Railway_Operations,TPJ,Tiruchirappalli,2026-03-31,12.5.0
469034151893,TABLE STEEL OFF SIZE,3.0,900.0,1692,SSE/S/SRM/TPJ077355-S AND T-SR,Railway_Operations,TPJ,Tiruchirappalli,2026-03-31,12.5.0
83151837,TWINE WHITE 100 GRAMS A BALL TO CSO/VOC NO.J.042 IS.2413/1978,45.0,800.1,1241,SSE/S/SRM/TPJ077355-S AND T-SR,Railway_Operations,TPJ,Tiruchirappalli,2026-03-31,12.5.0
727924850012,Spring adjusting Tool for DLB and FM Diado Block Instrument to Drg.No. CWM SK/01123.,4.0,800.0,837,SSE/S/SRM/TPJ077355-S AND T-SR,Railway_Operations,TPJ,Tiruchirappalli,2026-03-31,12.5.0
469043980011,TABLE GLASS PLAIN  ( 8 MM THICK ),1.0,750.0,1692,SSE/S/SRM/TPJ077355-S AND T-SR,Railway_Operations,TPJ,Tiruchirappalli,2026-03-31,12.5.0
556200010139,TRESTLES,49.0,735.0,940,SSE/S/SRM/TPJ077355-S AND T-SR,Railway_Operations,TPJ,Tiruchirappalli,2026-03-31,12.5.0
783000282034,Rack wooden OF SIZES,7.0,700.0,1291,SSE/S/SRM/TPJ077355-S AND T-SR,Railway_Operations,TPJ,Tiruchirappalli,2026-03-31,12.5.0
673500020118,Hand Cart,2.0,700.0,981,SSE/S/SRM/TPJ077355-S AND T-SR,Railway_Operations,TPJ,Tiruchirappalli,2026-03-31,12.5.0
420423880012,Hand Crimping tool (1.5-10sq mm),1.0,600.0,1693,SSE/S/SRM/TPJ077355-S AND T-SR,Railway_Operations,TPJ,Tiruchirappalli,2026-03-31,12.5.0
783000550016,STOOL WOODEN,3.0,525.0,1692,SSE/S/SRM/TPJ077355-S AND T-SR,Railway_Operations,TPJ,Tiruchirappalli,2026-03-31,12.5.0
75544453,TWINE COUNTRY JUTE 3PLY TO IS.SPECN.NO.1912/84 VARIETY NO.6.,5.0,500.6,1254,SSE/S/SRM/TPJ077355-S AND T-SR,Railway_Operations,TPJ,Tiruchirappalli,2026-03-31,12.5.0
10300601013,Tachometer Meter  OEM:GR Part No:105652090146 Make:NA,1.0,500.0,1693,SSE/S/SRM/TPJ077355-S AND T-SR,Railway_Operations,TPJ,Tiruchirappalli,2026-03-31,12.5.0
783000720013,BENCH WOODEN,1.0,500.0,1693,SSE/S/SRM/TPJ077355-S AND T-SR,Railway_Operations,TPJ,Tiruchirappalli,2026-03-31,12.5.0
473500354432,OIL PUMP ROTARY TYPE,1.0,500.0,1692,SSE/S/SRM/TPJ077355-S AND T-SR,Railway_Operations,TPJ,Tiruchirappalli,2026-03-31,12.5.0
508312470018,DIMMER START,1.0,500.0,1693,SSE/S/SRM/TPJ077355-S AND T-SR,Railway_Operations,TPJ,Tiruchirappalli,2026-03-31,12.5.0
753000050019,Nylon ropes. 1/2 Inch SIZES,50.0,500.0,1692,SSE/S/SRM/TPJ077355-S AND T-SR,Railway_Operations,TPJ,Tiruchirappalli,2026-03-31,12.5.0
783000514553,COMPUTER TABLE -SMALL,1.0,500.0,1692,SSE/S/SRM/TPJ077355-S AND T-SR,Railway_Operations,TPJ,Tiruchirappalli,2026-03-31,12.5.0
469035021002,VERNIER CALIPERS 0 MM-300 MM,1.0,500.0,1692,SSE/S/SRM/TPJ077355-S AND T-SR,Railway_Operations,TPJ,Tiruchirappalli,2026-03-31,12.5.0
654800060170,LIFTING PULLING MACHINE Portable Type (Tarfar),1.0,500.0,1693,SSE/S/SRM/TPJ077355-S AND T-SR,Railway_Operations,TPJ,Tiruchirappalli,2026-03-31,12.5.0
721800090282,Screw driver set (BOX),19.0,475.0,1692,SSE/S/SRM/TPJ077355-S AND T-SR,Railway_Operations,TPJ,Tiruchirappalli,2026-03-31,12.5.0
469029100015,HAMMER BALL PIN 0.5 KG,6.0,390.0,1693,SSE/S/SRM/TPJ077355-S AND T-SR,Railway_Operations,TPJ,Tiruchirappalli,2026-03-31,12.5.0
721429140016,SPANNER DOUBLE END SET,3.0,375.0,1692,SSE/S/SRM/TPJ077355-S AND T-SR,Railway_Operations,TPJ,Tiruchirappalli,2026-03-31,12.5.0
560605111783,SPANNER DOUBLE ENDED,27.0,324.0,1301,SSE/S/SRM/TPJ077355-S AND T-SR,Railway_Operations,TPJ,Tiruchirappalli,2026-03-31,12.5.0
783000253046,SOFA 3 SEATER,1.0,300.0,1692,SSE/S/SRM/TPJ077355-S AND T-SR,Railway_Operations,TPJ,Tiruchirappalli,2026-03-31,12.5.0
721801220010,SPANNER RING OF SIZES,23.0,276.0,1692,SSE/S/SRM/TPJ077355-S AND T-SR,Railway_Operations,TPJ,Tiruchirappalli,2026-03-31,12.5.0
420296880041,SWITCH CHANGE OVER 63A(CS 292),3.0,225.0,1270,SSE/S/SRM/TPJ077355-S AND T-SR,Railway_Operations,TPJ,Tiruchirappalli,2026-03-31,12.5.0
562100260023,Butterfly Contact,22.0,220.0,1802,SSE/S/SRM/TPJ077355-S AND T-SR,Railway_Operations,TPJ,Tiruchirappalli,2026-03-31,12.5.0
469029110010,HAMMER SLEDGE 7 lbs,2.0,220.0,1693,SSE/S/SRM/TPJ077355-S AND T-SR,Railway_Operations,TPJ,Tiruchirappalli,2026-03-31,12.5.0
727900640017,Rail Jumpers,1.0,200.0,1692,SSE/S/SRM/TPJ077355-S AND T-SR,Railway_Operations,TPJ,Tiruchirappalli,2026-03-31,12.5.0
561300660101,TOL Indicator Assembly,1.0,200.0,1637,SSE/S/SRM/TPJ077355-S AND T-SR,Railway_Operations,TPJ,Tiruchirappalli,2026-03-31,12.5.0
570102670012,Keyboard,1.0,200.0,1692,SSE/S/SRM/TPJ077355-S AND T-SR,Railway_Operations,TPJ,Tiruchirappalli,2026-03-31,12.5.0
725051380318,TAPE MEASURING,2.0,200.0,1692,SSE/S/SRM/TPJ077355-S AND T-SR,Railway_Operations,TPJ,Tiruchirappalli,2026-03-31,12.5.0
615400010060,Ladder wooden - 6(feet),1.0,150.0,1692,SSE/S/SRM/TPJ077355-S AND T-SR,Railway_Operations,TPJ,Tiruchirappalli,2026-03-31,12.5.0
565094831178,Sealing plier,8.0,120.0,1692,SSE/S/SRM/TPJ077355-S AND T-SR,Railway_Operations,TPJ,Tiruchirappalli,2026-03-31,12.5.0
830314340011,"MV (N) G 97 B, CREDIT NOTE BOOK IN SIZE 12X5.2/3 (BOOKS) Text Printing on One side over 60....",2.0,100.0,1353,SSE/S/SRM/TPJ077355-S AND T-SR,Railway_Operations,TPJ,Tiruchirappalli,2026-03-31,12.5.0
560605360011,SCREW DRIVER -V/ SIZE,5.0,100.0,1692,SSE/S/SRM/TPJ077355-S AND T-SR,Railway_Operations,TPJ,Tiruchirappalli,2026-03-31,12.5.0
461506450019,BONDS,5.0,100.0,1693,SSE/S/SRM/TPJ077355-S AND T-SR,Railway_Operations,TPJ,Tiruchirappalli,2026-03-31,12.5.0
479007400129,HACK SAW FRAME,1.0,100.0,1693,SSE/S/SRM/TPJ077355-S AND T-SR,Railway_Operations,TPJ,Tiruchirappalli,2026-03-31,12.5.0
305302300014,HEAVY DUTY DRILL BITT (HSS) SIZE 4.00 MM MAKE by: JK/ MIRINDA/I.T (Indian Tools),8.0,96.0,1693,SSE/S/SRM/TPJ077355-S AND T-SR,Railway_Operations,TPJ,Tiruchirappalli,2026-03-31,12.5.0
83151412,STATIONERY LACES TAG COTTON 100 CMS LONG TO IS.8499/88.,2.0,77.2,1426,SSE/S/SRM/TPJ077355-S AND T-SR,Railway_Operations,TPJ,Tiruchirappalli,2026-03-31,12.5.0
799048680148,Padlock G.I. SIZE 65MM,1.0,75.0,1692,SSE/S/SRM/TPJ077355-S AND T-SR,Railway_Operations,TPJ,Tiruchirappalli,2026-03-31,12.5.0
539845530016,CORDLESS MOUSE,1.0,75.0,1692,SSE/S/SRM/TPJ077355-S AND T-SR,Railway_Operations,TPJ,Tiruchirappalli,2026-03-31,12.5.0
