PL_Code,Description,Mean_Monthly_Demand,Std_Deviation,CV,XYZ_Class
79333485,"DUSTERS  COTTON KHADI  61 cms  x 61cms  SPECN: DUSTERS CLOTH COTTON KHADI BLEACHED  TO IS.3777/1994,....",0.4706,2.361,5.017,Z
79338677,HONEY COMB TOWELS WHITE BLEACHED IS.854/91 VARIETY NO 3 OR IS.859/79 VARIETY NO 2 IN SIZE 152 X 81 C....,0.06,0.4243,7.0711,Z
79339293,COTTON TURKISH TOWEL HANDLOOM WHITE SIZE 122X61 CMS TO IS:854/1991 OR LATEST. VARIETY NO.4 OR LATEST....,0.0,0.0,,N/A
795100540055,ELECTRICAL SAFETY SHOES,68.9412,275.2613,3.9927,Z
79511843,WASTE COTTON WHITE UNTEASED  TO IS. 6612/79 OR LATEST.,0.0,0.0,,N/A
795900190130,JUNGLE HAT,62.0952,250.3002,4.0309,Z
80010714,AXLE OIL MEDIUM TO IS:1628/1986.,0.0808,0.3364,4.165,Z
80090722,MINERAL JELLY FOR PROTECTING IRON & STEEL ARTICLES FROM RUST TO DGS&D SPECN. G/0-101/86.,1.3333,5.164,3.873,Z
81033515,NAPTHALENE WHITE BALLS PACKED IN POLYTHENE BAGS TO CONTAIN 250 GRAMS TO SPECN.539/1965 OR LATEST.,0.17,0.8182,4.8131,Z
81050264,DETERGENT BAR 250 GMS TO BRAND  RIN/HENKO/TIDE  AS IN ORIGINAL PACKING,0.72,3.9125,5.434,Z
81050999,TOILET SOAP-TO BE SUPPLIED IN THE FORM OF SMOOTH CAKES OF MINIMUM 100 GRAMS EACH SECURELY PACKED. AC....,0.96,4.7679,4.9666,Z
81070317,LIQUID ANTISEPTIC DETTOL IN PHIALS OF 50 ML.,0.0,0.0,,N/A
823000010357,Filtering Half Mask-Air Pollution Mask With Nose Clip N95,0.8704,6.3959,7.3485,Z
83041849,PAPER CARBON PENCIL 20.5 X 33 CM BLUE COLOUR SIMILAR TO KORES SAPPHIRE BRAND IS. 3450/1976.,9.8039,70.014,7.1414,Z
83049400,PLAIN COPIER PAPER GSM 80+/-4% IN SIZE OF 210 X 297 MM (A4 SIZE) CONFORMING TO IS:14490/1997 (REAFFI....,0.3725,1.1993,3.2193,Z
83049502,PLAIN COPIER PAPER GSM 80+/-4% IN SIZE OF 420 X 297 MM (A3 SIZE) CONFORMING TO IS:14490/1997 (REAFFI....,0.0588,0.3106,5.2802,Z
83049540,PLAIN COPIER PAPER GSM 80 IN SIZE OF 210 X 297 MM (A4 SIZE) CONFORMING TOIS:14490/2018 WITH AMDT.NO.....,0.0769,0.3922,5.099,Z
83054110,"ENVELOPES MADE OF BROWN WRAPPER DOUBLE IMPERIAL, RIBBED KRAFT TO SIZE 26 X 11 CM. (10 1/2 X 4 1/2"") ....",0.0,0.0,,N/A
