PL_Code,Description,Business_Unit,Criticality,Criticality_Name,ABC_Class,Forecast_Method,Forecastability_Class,Forecast_2026_27,Current_Stock,Strategic_Stock,Operational_Stock,Lead_Time_Months,Pending_Supply,Unit_Cost,Inventory_Value,Supplier_Info,Procurement_History
560412050036,Analog Card without controller suitable for Efftronics make RTU as per Spec: IRS: S-99/2006 (Amdt-3),MAS,,,,SBA,Very Low,15.3011,,,,,,,,Yes,Yes
560412070035,Power supply Card suitable for Efftronics make RTU as per Spec: IRS: S-99/2006 (Amdt-3),MAS,,,,SBA,Very Low,14.9625,,,,,,,,Yes,Yes
560412070047,Adapter PCB and embedded software for RTU for LTE connectivity,MAS,,,,No Forecast,,,,,,,,,,Yes,Yes
560412940029,FRAUSCHER make MSDAC Back Plane BP PWR 101-4-24TE-G801-19953,MAS,,,,No Forecast,,,,,,,,,,Yes,Yes
560412960041,FRAUSCHER MAKE MSDAC-Power Supply Board PSC 101-G S01-19949,MAS,,,,No Forecast,,,,,,,,,,Yes,Yes
560413820032,FRAUSCHER make MSDAC Rail Deflector,MAS,,,,No Forecast,,,,,,,,,,Yes,Yes
560414660036,Input-Output Extension Board 10-EXB-101-GS01-20864,MAS,,,,No Forecast,,,,,,,,,,Yes,Yes
560416370062,FRAUSCHER make MSDAC Evaluation Board AEB 101 - GS07-26534,MAS,,,,No Forecast,,,,,,,,,,Yes,Yes
56060002,"NYLON INSULATED RAILJOINT 52 KG TO SPECIFICATION IRS: S-40/84, DRAWING NO.SA-22101 (ALT-6).",MAS,S4,Desirable,C,TSB,Very Low,31.2436,0.0,,,,0.0,0.0,,,
560600028397,SM 480 Relay for Kyosan make EI,MAS,,,,SBA,Very Low,28.5,,,,,,,,Yes,Yes
560600046685,RELAY RACK TO HOLD 168 RELAYS,MAS,,,,SBA,Very Low,1.6515,,,,,,,,Yes,Yes
560600046764,RELAY RACK -56 Capacity,MAS,,,,No Forecast,,,,,,,,,,Yes,Yes
560600066325,AFTC ALSTOM BRASS COMB SET,MAS,,,,SBA,Very Low,27.4699,,,,,,,,,
560600098247,TAG BLOCK FOR DIGITAL INPUT (DATA LOGGER),MAS,,,,SBA,Very Low,4.1455,,,,,,,,,
560600098594,PBT terminals 25mm/ 60mm centre and PBT Fuse blocks with necessary inspection as per specification/ ....,MAS,,,,SBA,Very Low,381.1047,,,,,,,,Yes,Yes
560600099124,Supply and installation of Work space as per enclosed drawing -workspace(as approved by engineer inc....,MAS,,,,SBA,Very Low,11.4,,,,,,,,Yes,Yes
560601135847,EI PSU CARD ANSALDO MAKE (REALEASED),MAS,,,,SBA,Very Low,22.8,,,,,,,,Yes,Yes
560601140041,EI CPU CARD ANSALDO MAKE (RELEASED),MAS,,,,SBA,Very Low,11.4,,,,,,,,Yes,Yes
560601181638,Microlok -II Central Processing Unit PCB Ansaldo Make,MAS,,,,SBA,Very Low,2.961,,,,,,,,Yes,Yes
560601240023,Emergency Panel for Electronic Interlocking,MAS,,,,SBA,Very Low,11.4,,,,,,,,,
560601240140,Emergency Panel for Electronic Interlocking (Without Relays),MAS,,,,No Forecast,,,,,,,,,,,Yes
560601307440,"Class A"" Franklin Rod Type Lightening Protection system",MAS,,,,TSB,Very Low,8.3918,,,,,,,,Yes,Yes
560601365117,Cable termination rack 210 capacity.,MAS,,,,SBA,Very Low,0.4471,,,,,,,,Yes,Yes
560601365210,CABLE TERMINATION RACK 500 CAPACITY,MAS,,,,SBA,Very Low,0.832,,,,,,,,Yes,Yes
560601471320,VITAL CUT OFF RELAY (VCOR) ANSALDO Make,MAS,,,,SBA,Very Low,3.6614,,,,,,,,Yes,Yes
560601471446,VCOR Relay Base ANSALDO Make,MAS,,,,SBA,Very Low,22.8,,,,,,,,Yes,Yes
560601596188,LED 5mm Various Colour with Holder Resistance cable copper coated  for Panels,MAS,,,,SBA,Very Low,2280.0,,,,,,,,Yes,Yes
560601647378,BOLT WITH NUT 12MM X 38/100/200MM,MAS,,,,SBA,Very Low,20.9841,,,,,,,,,
