PL_Code,In_DMTR,In_Operational,In_Strategic,In_Criticality,Universe_Status
520504660025,1,0,0,0,Demand_Only
520508390028,0,1,0,0,Inventory_Only
520508390065,0,1,0,0,Inventory_Only
520508600060,0,1,0,0,Inventory_Only
520508600072,0,1,0,0,Inventory_Only
520508600096,0,1,0,0,Inventory_Only
520508600102,0,1,0,0,Inventory_Only
520508600114,0,1,0,0,Inventory_Only
520508600126,0,1,0,0,Inventory_Only
520508600140,0,1,0,0,Inventory_Only
520508600163,0,1,0,0,Inventory_Only
520508600175,0,1,0,0,Inventory_Only
520512200020,0,1,0,0,Inventory_Only
520800260150,0,1,0,0,Inventory_Only
521000590026,0,1,0,0,Inventory_Only
521100030158,0,1,0,0,Inventory_Only
521100030390,0,1,0,0,Inventory_Only
521100040050,0,1,0,0,Inventory_Only
521100050194,0,1,0,0,Inventory_Only
521100050200,0,1,0,0,Inventory_Only
521100050224,0,1,0,0,Inventory_Only
521100050236,0,1,0,0,Inventory_Only
521100080484,0,1,0,0,Inventory_Only
521100120135,0,1,0,0,Inventory_Only
521100530027,0,1,0,0,Inventory_Only
521100810024,1,0,0,0,Demand_Only
521102480039,1,0,0,0,Demand_Only
521102480040,1,0,0,0,Demand_Only
521104340026,1,0,0,0,Demand_Only
521501630045,1,0,0,0,Demand_Only
52156576/56500452,0,0,1,1,Partial_Match
52156618/56509935,0,0,0,1,Criticality_Only
521566280429,0,1,0,0,Inventory_Only
521566280430,0,1,0,0,Inventory_Only
521566280739,0,1,0,0,Inventory_Only
521566390193,0,1,0,0,Inventory_Only
521566390223,0,1,0,0,Inventory_Only
521566390247,0,1,0,0,Inventory_Only
521566390272,0,1,0,0,Inventory_Only
521566390284,0,1,0,0,Inventory_Only
521566390387,0,1,0,0,Inventory_Only
521700101899,0,1,0,0,Inventory_Only
521700102340,0,1,0,0,Inventory_Only
521700102363,0,1,0,0,Inventory_Only
521700102600,0,1,0,0,Inventory_Only
521700102715,0,1,0,0,Inventory_Only
521700102995,0,1,0,0,Inventory_Only
521700130127,0,1,0,0,Inventory_Only
521700270090,0,1,0,0,Inventory_Only
521700270120,0,1,0,0,Inventory_Only
521700270156,0,1,0,0,Inventory_Only
521700350127,0,1,0,0,Inventory_Only
522002010024,1,0,0,0,Demand_Only
522002180021,1,0,0,0,Demand_Only
522002180033,1,0,0,0,Demand_Only
522004290085,1,0,0,0,Demand_Only
522004290103,1,0,0,0,Demand_Only
522004290115,1,0,0,0,Demand_Only
522004290127,1,0,0,0,Demand_Only
522004290139,1,0,0,0,Demand_Only
522005520025,1,0,0,0,Demand_Only
522005910022,0,1,0,0,Inventory_Only
522500060207,0,1,0,0,Inventory_Only
522500060268,0,1,0,0,Inventory_Only
523000460025,0,1,0,0,Inventory_Only
523000470511,0,1,0,0,Inventory_Only
523000590061,0,1,0,0,Inventory_Only
523000600066,0,1,0,0,Inventory_Only
523000710121,0,1,0,0,Inventory_Only
523000830047,0,1,0,0,Inventory_Only
523000830059,0,1,0,0,Inventory_Only
523000830060,0,1,0,0,Inventory_Only
523000830072,0,1,0,0,Inventory_Only
523000830084,0,1,0,0,Inventory_Only
523000830096,0,1,0,0,Inventory_Only
523000830102,0,1,0,0,Inventory_Only
523000830126,0,1,0,0,Inventory_Only
523000830138,0,1,0,0,Inventory_Only
523000830140,0,1,0,0,Inventory_Only
523000830151,0,1,0,0,Inventory_Only
525500230316,1,0,0,0,Demand_Only
527900042963,0,1,0,0,Inventory_Only
527900045101,0,1,0,0,Inventory_Only
527900045113,0,1,0,0,Inventory_Only
527900045265,0,1,0,0,Inventory_Only
527900045289,0,1,0,0,Inventory_Only
527900045903,0,1,0,0,Inventory_Only
527900045915,0,1,0,0,Inventory_Only
527900046506,0,1,0,0,Inventory_Only
527900062767,0,1,0,0,Inventory_Only
527900082614,0,1,0,0,Inventory_Only
527900312176,0,1,0,0,Inventory_Only
527900313326,0,1,0,0,Inventory_Only
527900430653,0,1,0,0,Inventory_Only
527900442771,0,1,0,0,Inventory_Only
527900443040,0,1,0,0,Inventory_Only
527900510650,0,1,0,0,Inventory_Only
527900510727,0,1,0,0,Inventory_Only
527900510739,0,1,0,0,Inventory_Only
527900510740,0,1,0,0,Inventory_Only
527900510752,0,1,0,0,Inventory_Only
527900510788,0,1,0,0,Inventory_Only
527901140087,0,1,0,0,Inventory_Only
527901140130,0,1,0,0,Inventory_Only
527901460094,0,1,0,0,Inventory_Only
527902350041,0,1,0,0,Inventory_Only
527902350065,0,1,0,0,Inventory_Only
527903380041,0,1,0,0,Inventory_Only
527903920072,0,1,0,0,Inventory_Only
527905800227,0,1,0,0,Inventory_Only
527905800240,0,1,0,0,Inventory_Only
527905800290,0,1,0,0,Inventory_Only
527905800318,0,1,0,0,Inventory_Only
527905800320,0,1,0,0,Inventory_Only
527905800343,0,1,0,0,Inventory_Only
527905800355,0,1,0,0,Inventory_Only
527905800379,0,1,0,0,Inventory_Only
527905800380,0,1,0,0,Inventory_Only
527905800422,0,1,0,0,Inventory_Only
527907360024,0,1,0,0,Inventory_Only
527907360036,0,1,0,0,Inventory_Only
528100010050,1,0,0,0,Demand_Only
528100010103,1,0,0,0,Demand_Only
528100030023,1,0,0,0,Demand_Only
528700080244,0,1,0,0,Inventory_Only
528700380033,0,1,0,0,Inventory_Only
528700380045,0,1,0,0,Inventory_Only
529001730054,0,1,0,0,Inventory_Only
529001880441,0,1,0,0,Inventory_Only
529001880453,0,1,0,0,Inventory_Only
529002070025,0,1,0,0,Inventory_Only
529002520079,0,1,0,0,Inventory_Only
529002520109,0,1,0,0,Inventory_Only
529003560279,0,1,0,0,Inventory_Only
529004840030,0,1,0,0,Inventory_Only
529006340035,0,1,0,0,Inventory_Only
529006590027,0,1,0,0,Inventory_Only
529008670087,0,1,0,0,Inventory_Only
529008670099,0,1,0,0,Inventory_Only
529009640030,0,1,0,0,Inventory_Only
529009640042,0,1,0,0,Inventory_Only
529012410027,0,1,0,0,Inventory_Only
529012410039,0,1,0,0,Inventory_Only
529012890025,0,1,0,0,Inventory_Only
529012920091,0,1,0,0,Inventory_Only
529013630023,0,1,0,0,Inventory_Only
529013630035,0,1,0,0,Inventory_Only
529014480033,0,1,0,0,Inventory_Only
529018700027,0,1,0,0,Inventory_Only
529021160036,0,1,0,0,Inventory_Only
529900070051,0,1,0,0,Inventory_Only
529900350047,0,1,0,0,Inventory_Only
539800055337,0,1,0,0,Inventory_Only
539800111080,0,1,0,0,Inventory_Only
539800218676,1,0,0,0,Demand_Only
539800218688,1,0,0,0,Demand_Only
539800218690,1,0,0,0,Demand_Only
539800448128,0,1,0,0,Inventory_Only
539800448130,0,1,0,0,Inventory_Only
539800448189,0,1,0,0,Inventory_Only
