PL_Code,Description,Months_Observed,Total_Issues,Average_Monthly_Demand,Std_Deviation,CV
81070317,LIQUID ANTISEPTIC DETTOL IN PHIALS OF 50 ML.,51,0.0,0.0,0.0,
823000010357,Filtering Half Mask-Air Pollution Mask With Nose Clip N95,54,47.0,0.8704,6.3959,7.3485
83041849,PAPER CARBON PENCIL 20.5 X 33 CM BLUE COLOUR SIMILAR TO KORES SAPPHIRE BRAND IS. 3450/1976.,51,500.0,9.8039,70.014,7.1414
83049400,PLAIN COPIER PAPER GSM 80+/-4% IN SIZE OF 210 X 297 MM (A4 SIZE) CONFORMING TO IS:14490/1997 (REAFFI....,51,19.0,0.3725,1.1993,3.2193
83049502,PLAIN COPIER PAPER GSM 80+/-4% IN SIZE OF 420 X 297 MM (A3 SIZE) CONFORMING TO IS:14490/1997 (REAFFI....,51,3.0,0.0588,0.3106,5.2802
83049540,PLAIN COPIER PAPER GSM 80 IN SIZE OF 210 X 297 MM (A4 SIZE) CONFORMING TOIS:14490/2018 WITH AMDT.NO.....,26,2.0,0.0769,0.3922,5.099
83054110,"ENVELOPES MADE OF BROWN WRAPPER DOUBLE IMPERIAL, RIBBED KRAFT TO SIZE 26 X 11 CM. (10 1/2 X 4 1/2"") ....",38,0.0,0.0,0.0,
83057213,FILE BOOKS FILE COVERS WITH 1.3cm WIDE TAPE AND TWO TAGS 50cm COVER THICK 250mm x 370mm TO GISO APPR....,38,0.0,0.0,0.0,
83057225,FILE BOOKS FILE COVER WITH 1.3 CM WIDETAPE & 2 TAGS 50 CM OR OVER THIN 250 MM X 370 MM TO GISO APPD.....,51,20.0,0.3922,2.8006,7.1414
831100020429,Monochrome Laser Printer,33,1.0,0.0303,0.1741,5.7446
83904104,SEALING WAX BLACK PITCH BASE IN BOX OF 50 KGS TO IS.868/56.,42,10.0,0.2381,1.543,6.4807
83904827,TAG COTTON WHITE 60 CM LONG IN BUNDLES OF 100 EACH (SHOE LACE PATTERN ).,42,5.0,0.119,0.7715,6.4807
83904839,TAG COTTON WHITE 30 CMS LONG IN BUNDLES OF 100 NOS. EACH (SHOE LACE PATTERN) CSO/M.077).,42,2.0,0.0476,0.3086,6.4807
860130140864,PORTABLE FIRE EXTINGUISHER CO2 TYPE,54,28.0,0.5185,2.6116,5.0366
860130141200,CO2 Fire extinguisher 4.5Kg capacity with all fittings and accessories.,52,600.0,11.5385,36.8805,3.1963
861600960026,FIRE ALARM ANALOGUE ADDRESSABLE AND RESETTABLE MANUAL CALL POINT WITH BACK BOX  AS PER RDSO/SPN/217/....,54,427.0,7.9074,32.7289,4.139
86900043,CANDLE WAX LONG ORDINARY 220.0 PLUS OR MINUS 5.0mm LONG FROM BOTTOM TO SHOULDER 20.0mm PLUS OR MINUS....,51,5.0,0.098,0.5002,5.102
869037530032,"Unbranded Medium strength Thread Locking Adhesive, Size 50 milliliter",31,200.0,6.4516,23.3792,3.6238
910100820060,Aluminum sheet of Thick minimum 0.3mm,17,1000.0,58.8235,242.5356,4.1231
98210191,Copper NonArsenical Lump,49,76.0,1.551,10.8571,7.0
NA,Supply of GI pipes - 100mm dia-4.5mm thick as specified in Vol.II of the Tender document,47,0.0,0.0,0.0,
hpff7ab010a82bcd916f42dde7bb462cccc3c4e242,hp Intel Core i5 All in One PC with 23.8 Inch Display/ Windows 10 Professional,40,0.0,0.0,0.0,
