PL_Code,Description,Business_Unit,Criticality_Class,Forecast_Method,Forecast_Annual,Forecast_Monthly,Lead_Time_Days,Demand_During_LT,Safety_Stock,ROP,Current_Stock,Reorder_Gap,Stock_Status
56500350,BATTERY CHARGER 110V AC 24V DC 30 AMPS TO SPECN.IRS-S-86/2000.WITH AMENDMENT-4 or latest.,MAS,Critical,SBA,3.34,0.278,82.5,0.75,0.86,1.61,0.0,1.61,Critical Shortage
77035136,"PAINT READY MIXED OLIVE GREEN"" ISC-220 OF IS: 5/2007 BRUSHING, FINISHING, SEMI GLOSS FOR GENERAL PUR....",MAS,Non-Critical,SBA,8.77,0.731,6.0,0.14,1.44,1.58,0.0,1.58,Critical Shortage
56500452,BATTERY CHARGER 230V AC 110V DC 30 AMPS SPECN.No.IRS-S-86/2000 WITH AMENDMENT - 4. OR LATEST.,MAS,Critical,SBA,16.26,1.355,20.0,0.89,0.69,1.58,0.0,1.58,Critical Shortage
565094804400,Remote Terminal Unit with 128 digital &16 analog inputs with modems and power supply as per RDSO spe....,MAS,Non-Critical,SBA,1.55,0.129,83.0,0.35,1.15,1.5,0.0,1.5,Critical Shortage
539818371075,Stop Board/Sighting Board,MAS,Non-Critical,TSB,9.61,0.801,11.0,0.29,1.19,1.48,0.0,1.48,Critical Shortage
539800639499,LED Torch Light (Flashing Unit),MAS,Non-Critical,SBA,5.56,0.463,6.0,0.09,1.17,1.26,98.0,-96.74,Excess
509004730016,SHARP MULTIFUNCTION XEROX MACHINE MFM,MAS,Non-Critical,SBA,11.4,0.95,33.0,1.03,0.16,1.19,0.0,1.19,Critical Shortage
81033515,NAPTHALENE WHITE BALLS PACKED IN POLYTHENE BAGS TO CONTAIN 250 GRAMS TO SPECN.539/1965 OR LATEST.,MAS,Non-Critical,SBA,12.42,1.035,15.5,0.53,0.61,1.14,5.0,-3.86,Excess
86900043,CANDLE WAX LONG ORDINARY 220.0 PLUS OR MINUS 5.0mm LONG FROM BOTTOM TO SHOULDER 20.0mm PLUS OR MINUS....,MAS,Non-Critical,SBA,1.83,0.152,60.0,0.3,0.73,1.03,0.0,1.03,Critical Shortage
561620290801,Battery charger 230V AC/110 V DC/40 AMPS as per RDSO specification IRS:S-93/96 (B) with Amd 1 orlate....,MAS,Critical,TSB,0.47,0.039,6.0,0.01,0.99,1.0,0.0,1.0,Critical Shortage
539828400035,Pedastal Cotter Pin for  LB Gate,MAS,Non-Critical,TSB,18.63,1.552,1.0,0.05,0.88,0.93,0.0,0.93,Critical Shortage
560601365117,Cable termination rack 210 capacity.,MAS,Critical,SBA,0.45,0.037,132.0,0.16,0.67,0.83,38.0,-37.17,Excess
539831440097,L-K7C Subrack with motherboard for Kyosan make EI,MAS,Critical,SBA,5.7,0.475,33.0,0.51,0.31,0.82,0.0,0.82,Critical Shortage
565094825890,Tool Kit for HASSDAC,MAS,Non-Critical,SBA,0.6,0.05,195.0,0.32,0.5,0.82,0.0,0.82,Critical Shortage
56509935,BATTERY CHARGER 230V AC / 24V DC 20 AMPS TO RDSO SPECN.IRS.S.86/2000 AMENDMENT NO.4 OR LATEST.,MAS,Critical,SBA,6.2,0.517,3.5,0.06,0.73,0.79,1.0,-0.21,Healthy
539852990062,"EOLB GATE COMPLETE SET (Consisting of Pedestal, Meeting post, Boom, Control panel and Counter weight....",MAS,Critical,SBA,17.2,1.433,9.0,0.42,0.32,0.74,0.0,0.74,Critical Shortage
563047180100,Galvanized Cover/Slide Cover for Electrical Point Machine,MAS,Non-Critical,SBA,11.4,0.95,16.0,0.5,0.17,0.67,0.0,0.67,Critical Shortage
83049540,PLAIN COPIER PAPER GSM 80 IN SIZE OF 210 X 297 MM (A4 SIZE) CONFORMING TOIS:14490/2018 WITH AMDT.NO.....,MAS,Non-Critical,SBA,2.28,0.19,23.0,0.14,0.35,0.49,9.0,-8.51,Excess
565094804412,Monitoring at Central place for receiving RTU data through LTE communication,MAS,Non-Critical,SBA,0.67,0.056,83.0,0.15,0.32,0.47,0.0,0.47,Critical Shortage
565099653266,Data Logger RTU 32 Digital input 16 Analog input with Batteries,MAS,Critical,SBA,0.99,0.083,22.0,0.06,0.36,0.42,0.0,0.42,Critical Shortage
565000024089,DC MOTOR FRACTIONAL H.P. FOR LIFTING BARRIER GATE,MAS,Non-Critical,SBA,8.87,0.739,3.0,0.07,0.23,0.3,0.0,0.3,Critical Shortage
80010714,AXLE OIL MEDIUM TO IS:1628/1986.,MAS,Critical,SBA,17.72,1.477,2.0,0.1,0.14,0.24,0.0,0.24,Critical Shortage
560604185874,LC GATE PANEL (PTJ MAKE),MAS,Non-Critical,SBA,5.7,0.475,3.0,0.05,0.17,0.22,0.0,0.22,Critical Shortage
539834880138,Siemens AFTC Equipotential Bond 21.5 Mtrs,MAS,Non-Critical,TSB,2.07,0.172,0.0,0.0,0.0,0.0,0.0,0.0,No_Demand
539834880084,Siemens Alpha Bond 18 Mtrs,MAS,Critical,TSB,2.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,No_Demand
539834880102,"Siemens S"" Bond 16 Mtrs",MAS,Critical,SBA,19.53,1.628,0.0,0.0,0.0,0.0,0.0,0.0,No_Demand
549012320014,Galvanised cable clamp assembly for wider prestressed concrete sleeper as per drg no. MAS/SK/12/2022....,MAS,Non-Critical,SBA,2248.31,187.359,0.0,0.0,0.0,0.0,0.0,0.0,No_Demand
539812641044,ANNOUNCIATOR 12 WAY,MAS,Non-Critical,SBA,3.07,0.256,0.0,0.0,0.0,0.0,0.0,0.0,No_Demand
560605790029,Cable Clamp Assembly for Sleeper,MAS,Non-Critical,TSB,333.34,27.778,0.0,0.0,0.0,0.0,0.0,0.0,No_Demand
569001930020,"Siemens  S ""Bond  21 mtrs.",MAS,Critical,SBA,9.99,0.833,0.0,0.0,0.0,0.0,0.0,0.0,No_Demand
567900779194,RELAY QN1 (12F-4B) WITH ACESSORIES,MAS,Critical,TSB,39.04,3.253,0.0,0.0,0.0,0.0,0.0,0.0,No_Demand
565172844319,DATA LOGGER 512 DIGITAL INPUT/ 32 ANALOG INPUT RELEASED,MAS,Critical,SBA,3.12,0.26,0.0,0.0,0.0,0.0,1.0,-1.0,Excess
569044770013,Announciator 8 way,MAS,Non-Critical,SBA,11.4,0.95,0.0,0.0,0.0,0.0,0.0,0.0,No_Demand
539814460065,"Relay QNNA1 6F/2B, 24V DC.",MAS,Critical,TSB,23.55,1.963,0.0,0.0,0.0,0.0,0.0,0.0,No_Demand
539863160010,ANNOUNCIATOR 10 WAY,MAS,Non-Critical,TSB,4.6,0.383,0.0,0.0,0.0,0.0,0.0,0.0,No_Demand
539825640047,Fencing arrangement for GRS Apparatus case (WS PTJ/PER Make),MAS,Non-Critical,SBA,60.38,5.032,0.0,0.0,0.0,0.0,0.0,0.0,No_Demand
431500022334,Split AC 2 Ton Capacity with Indoor and Outdoor unit.,MAS,Non-Critical,TSB,13.81,1.151,0.0,0.0,0.0,0.0,0.0,0.0,No_Demand
