PL_Code,Description,Criticality_Class,Forecast_Annual,Lead_Time_Days,Current_Stock,ROP,Positive_Gap,SRRS,SRRS_Rank,Average_Rate_Rs,Reorder_Gap_Value_Rs,Value_Rank
565094825567,Electrical Point Machine IRS Tool Kit,Non-Critical,21.61,135.0,10.0,14.18,4.18,4.18,466,3001.0,12544.18,470
539802862386,HYLUM SHEET 6MM THICKNESS (8ft X 4ft),Non-Critical,3.69,268.0,2.0,6.18,4.18,4.18,467,4500.0,18810.0,460
430200021416,Digital Multimeter make Rishi 18S,Non-Critical,10.68,97.0,0.0,4.18,4.18,4.18,468,11568.37,48355.79,420
521501630045,MULTIFUNCTION XEROX MACHINE MFM,Non-Critical,22.8,43.0,0.0,4.1,4.1,4.1,469,199099.0,816305.9,197
565198272730,DOUBLE BED DEMINERALISED-300 LTR PER HOUR CAPACITY WITH IN BUILT PREFILTERATIONS EXCHANGING TYPE WIT....,Non-Critical,12.0,101.0,0.0,4.07,4.07,4.07,470,70210.0,285754.7,300
565094804424,Local Report System (LRS),Non-Critical,8.51,65.0,0.0,4.03,4.03,4.03,471,105000.0,423150.0,261
570140713948,HP Intel Core i7 All-in-One PC with 23.8-inch display and Windows 11 Pro,Non-Critical,34.2,33.0,0.0,3.99,3.99,3.99,472,110000.0,438900.0,255
569894370025,Aluminium Boom 9.76 Mtrs for Lifting Barrier Gate,Non-Critical,4.4,254.5,2.0,5.9,3.9,3.9,473,66213.0,258230.7,309
787902055227,Kent RO Fully automatic with auto cut off UV+UF Potable Water Purification System,Non-Critical,4.84,38.0,0.0,3.62,3.62,3.62,474,7494.0,27128.28,449
508501090018,LAN Tester,Non-Critical,11.4,103.0,0.0,3.54,3.54,3.54,475,3000.0,10620.0,474
567903070027,Protocol Converter to seamlessly interface with Datalogger and EI equipment,Non-Critical,11.4,159.5,2.0,5.46,3.46,3.46,476,65000.0,224900.0,321
71080545,"STREET BROOMS (Malar), PADAL MADE WITH BROOMSTICKS 68 cms to 70cms LONG WITH  THICK END  AT THE BOTT....",Non-Critical,5.14,60.0,0.0,3.12,3.12,3.12,477,184.22,574.77,499
561800850043,Junction Type Route Indicator - 3 Way,Critical,5.14,81.5,2.0,2.31,0.31,3.1,478,123185.0,38187.35,435
567921160020,Modular Power Supply arrangement for Maintenance VDU and Embedded PC. This shall typically consists ....,Non-Critical,6.78,242.5,4.0,6.99,2.99,2.99,479,230000.0,687700.0,217
71080326,BROOMS COCOA WELL CLEANED & DRIED FROM THE STEMS OF COCONUT LEAVES 20cms CIRCUMFERENCE AT ABOUT 10cm....,Non-Critical,8.88,41.5,0.0,2.91,2.91,2.91,480,29.22,85.03,510
570109490520,Supply and Installation of e-TSR Central server (Rack Model) with Intel Xeon Silver 4309Y processor ....,Non-Critical,5.7,145.0,0.0,2.83,2.83,2.83,481,521464.0,1475743.12,141
502355770020,Supply and installation of Signal post telephone with facility of paging and talk-back including voi....,Non-Critical,76.45,126.0,42.0,44.79,2.79,2.79,482,9345.0,26072.55,451
539813442018,GNSS based cable route tracer kit with receiver with built in mount for GNSS receiver suitable for d....,Non-Critical,2.28,213.0,0.0,2.56,2.56,2.56,483,1450000.0,3712000.0,71
570104790136,UPS 5KVA CAPACITY,Non-Critical,11.4,69.0,0.0,2.52,2.52,2.52,484,217563.0,548258.76,237
503523410740,DIGITAL VOICE ANNOUNCIATION UNIT FOR LC GATE,Non-Critical,16.71,3.0,0.0,2.4,2.4,2.4,485,12250.0,29400.0,448
80010714,AXLE OIL MEDIUM TO IS:1628/1986.,Critical,17.72,2.0,0.0,0.24,0.24,2.4,486,90464.56,21711.49,455
539843690030,Control Panel for Station,Non-Critical,11.4,67.0,0.0,2.39,2.39,2.39,487,609280.0,1456179.2,146
