PL_Code,Forecast_Method,MAE,RMSE,MAPE,sMAPE,Bias,Mean_Forecast_Error,Tracking_Signal,Forecastability_Score,Forecastability_Class,Forecast_Volume,Forecast_CV,Demand_Intermittency,Forecast_Confidence,Planning_Strategy,Backtest_Origins
569003530044,TSB,2.2468,2.7063,66.29,188.58,5.6245,1.8748,25.0332,20.24,Very Low,41.419,8.119,87.04,Low,Risk-driven,30
569003540050,TSB,27.6042,29.5563,353.56,174.73,3.9845,23.774,25.8374,25.44,Very Low,288.4995,4.9536,75.93,Low,Risk-driven,30
569003550031,TSB,1.6056,1.8026,40.99,195.05,23.2635,1.5509,28.9787,17.72,Very Low,4.7645,27.0388,92.59,Low,Risk-driven,30
569003560048,TSB,2.2154,2.7015,48.79,187.25,5.0276,1.8435,24.9629,20.47,Very Low,41.6108,7.3677,87.04,Low,Risk-driven,30
569003570030,TSB,1.4625,1.6471,43.14,195.17,21.0739,1.4049,28.82,18.16,Very Low,4.1572,24.7059,90.74,Low,Risk-driven,30
569003580035,TSB,5.6925,10.0806,72.95,173.07,0.355,1.1243,5.925,24.81,Very Low,69.5942,3.1833,79.63,Low,Risk-driven,30
569003780024,SBA,0.0798,0.2118,100.0,200.0,-0.164,-0.0071,-2.0545,20.4,Very Low,0.456,4.8714,97.87,Medium,Risk-driven,23
569003800047,SBA,,,,,,,,22.91,Very Low,373.6667,,85.71,Medium,Risk-driven,0
569004570074,TSB,,,,,,,,22.8,Very Low,2422.0955,,77.78,Low,Risk-driven,0
569005120027,TSB,5.3586,6.2278,89.43,194.28,8.681,4.6299,25.9202,18.78,Very Low,62.6587,11.6771,88.89,Low,Risk-driven,30
569005440022,SBA,1.72,2.1611,63.55,179.82,0.394,0.3678,6.4142,26.21,Very Low,15.2941,2.3154,70.37,Medium,Risk-driven,30
569005530114,SBA,,,,,,,,24.69,Very Low,178.494,,78.57,Medium,Risk-driven,0
569006940154,SBA,2.4806,2.4806,,200.0,0.0,2.4806,1.0,19.92,Very Low,29.7667,,92.0,Medium,Risk-driven,1
569006970020,SBA,,,,,,,,21.42,Very Low,68.4,,93.33,Medium,Risk-driven,0
569007720034,SBA,0.0794,0.2314,100.0,168.42,-0.4911,-0.0258,-6.1834,21.11,Very Low,0.4071,4.3964,97.67,Medium,Risk-driven,19
569007730052,SBA,0.5641,0.5641,,200.0,0.0,0.5641,19.0,16.16,Very Low,6.7688,,95.35,Medium,Risk-driven,19
569007730064,TSB,0.4888,1.5956,98.97,199.79,-0.6528,-0.2405,-9.3497,16.2,Very Low,0.6507,4.3309,95.35,Low,Risk-driven,19
569007780031,SBA,0.8649,1.0828,61.0,189.69,1.1818,0.4136,9.5641,18.51,Very Low,7.7696,3.0936,93.18,Medium,Risk-driven,20
569007780043,SBA,0.2944,0.7581,100.0,200.0,-0.43,-0.0806,-4.3822,15.62,Very Low,1.368,4.0431,97.5,Medium,Risk-driven,16
569016620028,SBA,4.7665,8.1604,89.72,190.77,-0.6487,-2.6353,-8.846,20.37,Very Low,21.8878,2.0087,85.0,Medium,Risk-driven,16
569018890023,SBA,,,,,,,,22.67,Very Low,15.675,,80.0,Medium,Risk-driven,0
569018900028,SBA,,,,,,,,22.67,Very Low,15.675,,80.0,Medium,Risk-driven,0
569020420026,SBA,0.701,0.701,,200.0,0.0,0.701,19.0,17.32,Very Low,8.4125,,90.7,Medium,Risk-driven,19
569020690029,SBA,9.543,15.8405,72.65,163.89,-0.5873,-5.3222,-8.9233,27.57,Very Low,55.7245,1.7479,75.0,Medium,Risk-driven,16
569024350020,SBA,4.2172,11.7298,97.1,199.3,-0.5363,-1.6089,-6.1043,17.0,Very Low,19.0911,3.9099,92.5,Medium,Risk-driven,16
569034910045,SBA,2.8332,2.8332,,200.0,0.0,2.8332,2.0,19.68,Very Low,33.998,,84.62,Medium,Risk-driven,2
569034910069,SBA,,,,,,,,23.08,Very Low,9712.8,,95.0,Medium,Risk-driven,0
569034910070,TSB,,,,,,,,24.33,Very Low,48.729,,90.0,Low,Risk-driven,0
569044770013,SBA,0.95,0.95,,200.0,0.0,0.95,3.0,15.6,Very Low,11.4,,92.59,Medium,Risk-driven,3
569060390045,SBA,,,,,,,,20.03,Very Low,5700.0,,88.89,Medium,Risk-driven,0
569070440021,TSB,,,,,,,,26.48,Very Low,40.1356,,71.43,Low,Risk-driven,0
569070440033,Croston,,,,,,,,44.18,Low,354.025,,21.43,Low,Policy-driven,0
569804430131,SBA,,,,,,,,25.09,Very Low,22.8,,66.67,Medium,Risk-driven,0
56982252,TSB,117.8161,227.8422,497.65,126.44,-0.0218,-2.2532,-0.5737,54.96,Medium,947.0819,2.2049,25.93,Low,Forecast-assisted,30
569839060113,SBA,1.0521,1.0521,,200.0,0.0,1.0521,22.0,17.18,Very Low,12.6252,,91.3,Medium,Risk-driven,22
569839060125,SBA,1.2613,1.2613,,200.0,0.0,1.2613,28.0,19.33,Very Low,15.1356,,82.69,Medium,Risk-driven,28
569839060332,SBA,2.85,2.85,,200.0,0.0,2.85,7.0,13.72,Very Low,34.2,,96.77,Medium,Risk-driven,7
56985800,TSB,4.646,5.2554,33.97,172.51,1.6352,3.1535,19.0051,24.62,Very Low,17.3235,2.725,80.77,Low,Risk-driven,28
56986130,TSB,10.2998,14.6881,115.53,156.85,0.2296,1.5419,4.1916,37.06,Low,67.7963,2.1876,51.92,Low,Policy-driven,28
569894370025,SBA,0.7896,1.2335,85.8,186.22,-0.5819,-0.388,-10.3185,22.97,Very Low,4.4017,1.8503,77.78,Medium,Risk-driven,21
569894550039,SBA,12.0286,12.0286,,200.0,0.0,12.0286,8.0,16.46,Very Low,144.3438,,87.5,Medium,Risk-driven,8
569894580184,SBA,2.9545,2.9545,,200.0,0.0,2.9545,30.0,16.39,Very Low,35.454,,94.44,Medium,Risk-driven,30
569900780080,TSB,10.1957,10.5419,65.85,189.82,2.7613,6.9034,6.7708,18.15,Very Low,72.0252,4.2167,91.18,Low,Risk-driven,10
569901140024,SBA,0.3958,0.3958,,200.0,0.0,0.3958,19.0,16.16,Very Low,4.75,,95.35,Medium,Risk-driven,19
569901140036,SBA,0.1761,0.4764,100.0,188.89,-0.4154,-0.0462,-4.7184,17.54,Very Low,0.8769,4.2877,97.62,Medium,Risk-driven,18
569903410020,SBA,,,,,,,,20.03,Very Low,651.4286,,88.89,Medium,Risk-driven,0
570100356570,SBA,,,,,,,,26.62,Very Low,54.8457,,87.5,Medium,Risk-driven,0
570104790136,SBA,0.95,0.95,,200.0,0.0,0.95,10.0,15.64,Very Low,11.4,,94.12,Medium,Risk-driven,10
570109490283,SBA,0.5758,0.6428,26.53,152.63,1.4849,0.4243,5.1574,24.43,Very Low,6.4016,2.2497,87.1,Medium,Risk-driven,7
570109490386,TSB,,,,,,,,24.75,Very Low,24.1308,,80.0,Low,Risk-driven,0
570109490520,SBA,,,,,,,,21.73,Very Low,5.7,,93.75,Medium,Risk-driven,0
570131650240,SBA,0.95,0.95,,200.0,0.0,0.95,10.0,14.9,Very Low,11.4,,97.06,Medium,Risk-driven,10
570131650305,SBA,3.1893,3.1893,,200.0,0.0,3.1893,4.0,13.45,Very Low,38.2714,,92.86,Medium,Risk-driven,4
