PL_Code,PL_Code_Normalized,Length,Issue_Type,Changed
539801779517,539801779517,12,Len12,No
539801779700,539801779700,12,Len12,No
539801779724,539801779724,12,Len12,No
539801784410,539801784410,12,Len12,No
539801784744,539801784744,12,Len12,No
539801849015,539801849015,12,Len12,No
539801849027,539801849027,12,Len12,No
539801901815,539801901815,12,Len12,No
539801916260,539801916260,12,Len12,No
539801992328,539801992328,12,Len12,No
539802239713,539802239713,12,Len12,No
539802239981,539802239981,12,Len12,No
539802259074,539802259074,12,Len12,No
539802259141,539802259141,12,Len12,No
539802259438,539802259438,12,Len12,No
539802295820,539802295820,12,Len12,No
539802297245,539802297245,12,Len12,No
539802298778,539802298778,12,Len12,No
539802299242,539802299242,12,Len12,No
539802299618,539802299618,12,Len12,No
539802318560,539802318560,12,Len12,No
539802319137,539802319137,12,Len12,No
539802319162,539802319162,12,Len12,No
539802319174,539802319174,12,Len12,No
539802319253,539802319253,12,Len12,No
539802319320,539802319320,12,Len12,No
539802319356,539802319356,12,Len12,No
539802319368,539802319368,12,Len12,No
539802398608,539802398608,12,Len12,No
539802398633,539802398633,12,Len12,No
539802398682,539802398682,12,Len12,No
539802398700,539802398700,12,Len12,No
539802398724,539802398724,12,Len12,No
539802399390,539802399390,12,Len12,No
539802401190,539802401190,12,Len12,No
539802545800,539802545800,12,Len12,No
539802601335,539802601335,12,Len12,No
539802615050,539802615050,12,Len12,No
539802616569,539802616569,12,Len12,No
539802616703,539802616703,12,Len12,No
539802648698,539802648698,12,Len12,No
539802648730,539802648730,12,Len12,No
539802649320,539802649320,12,Len12,No
539802674340,539802674340,12,Len12,No
539802674570,539802674570,12,Len12,No
539802685427,539802685427,12,Len12,No
539802804118,539802804118,12,Len12,No
539802804167,539802804167,12,Len12,No
539802804179,539802804179,12,Len12,No
539802805135,539802805135,12,Len12,No
539802831377,539802831377,12,Len12,No
539802851959,539802851959,12,Len12,No
539802852010,539802852010,12,Len12,No
539802862386,539802862386,12,Len12,No
539802896049,539802896049,12,Len12,No
539802900879,539802900879,12,Len12,No
539802982203,539802982203,12,Len12,No
539802996380,539802996380,12,Len12,No
539802996457,539802996457,12,Len12,No
539803344280,539803344280,12,Len12,No
539803505494,539803505494,12,Len12,No
539803505500,539803505500,12,Len12,No
539803505512,539803505512,12,Len12,No
539803505688,539803505688,12,Len12,No
539803680036,539803680036,12,Len12,No
539803680048,539803680048,12,Len12,No
539803716997,539803716997,12,Len12,No
539803717000,539803717000,12,Len12,No
539803717059,539803717059,12,Len12,No
539803717102,539803717102,12,Len12,No
539804054789,539804054789,12,Len12,No
539804082608,539804082608,12,Len12,No
539804082610,539804082610,12,Len12,No
539804082797,539804082797,12,Len12,No
539804140372,539804140372,12,Len12,No
539804447143,539804447143,12,Len12,No
539804447179,539804447179,12,Len12,No
539804447234,539804447234,12,Len12,No
539804447416,539804447416,12,Len12,No
539804450166,539804450166,12,Len12,No
539804450269,539804450269,12,Len12,No
539804468353,539804468353,12,Len12,No
539804489952,539804489952,12,Len12,No
539804531166,539804531166,12,Len12,No
539804531324,539804531324,12,Len12,No
539804531403,539804531403,12,Len12,No
539804575674,539804575674,12,Len12,No
539804575704,539804575704,12,Len12,No
539804575807,539804575807,12,Len12,No
539804581248,539804581248,12,Len12,No
539804721137,539804721137,12,Len12,No
539804751828,539804751828,12,Len12,No
539804752183,539804752183,12,Len12,No
539804752201,539804752201,12,Len12,No
539804752225,539804752225,12,Len12,No
539804753072,539804753072,12,Len12,No
539804753989,539804753989,12,Len12,No
539804754143,539804754143,12,Len12,No
539804754222,539804754222,12,Len12,No
539804776369,539804776369,12,Len12,No
539804830637,539804830637,12,Len12,No
539804978320,539804978320,12,Len12,No
539804978872,539804978872,12,Len12,No
539804978914,539804978914,12,Len12,No
539804999371,539804999371,12,Len12,No
539805021391,539805021391,12,Len12,No
539805021573,539805021573,12,Len12,No
539805021810,539805021810,12,Len12,No
539805021962,539805021962,12,Len12,No
539805021974,539805021974,12,Len12,No
539805022140,539805022140,12,Len12,No
539805022309,539805022309,12,Len12,No
539805022450,539805022450,12,Len12,No
539805022772,539805022772,12,Len12,No
539805022784,539805022784,12,Len12,No
539805022942,539805022942,12,Len12,No
