PL_Code,Description,Movement_Status,Inventory_Aging_Class,Inventory_Value,Operational_ABC,Source_Universe
83055575,TWO QUIRE NOTE BOOK EACH OF 200 PAGES SIZE 33 CM LENGTH X 20.5 CM WIDTH PRINT WITH RULE IN....,Active,Monitor,724.22,C,Operational
83055563,(1)DESCRIPTION :BOOK RULED 3 QUIRE(2)SIZE  : 21CMS X 29.7 CMS (TRIMMED) (150 LEAVES PER BO....,Active,Active,1392.49,C,Operational
83055551,FOUR QUIRE NOTE BOOK EACH OF 400 PAGES SIZE 33 CM LENGTH X 20.5 CM  WIDTH. PRINT WITH RULE....,Active,Monitor,1614.1,C,Operational
83054110,"ENVOLOPE SMALL  (ENVELOPES MADE OF BROWN WRAPPER DOUBLE IMPERIAL, RIBBED KRAFT TO SIZE 26....",Dead Stock,Dead Stock,0.0,C,Operational
83053013,G-60 ; MUSTER ROLL A4 B/S BKS Printing in Bi-lingual(Hindi and English as perspeci....,Slow Moving,Slow Moving,272.0,C,Operational
83052057,G-375Receipt and Despatch RegisterA4B/SBKSPrinting in Bi-lingual (Hindi and English a....,Slow Moving,Very Slow Moving,0.0,C,Operational
83051661,G-49 ;83051661 ATTENDANCE REGISTER ; 9X12 B/S BOOKS  Printing in Bi-lingual (Hindi a....,Active,Monitor,181.76,C,Operational
83051454,83051454 ; G-6 L ; T.A JOURNAL / LARGE ; A4 B/S L Printing in Bi-lingual (Hindi and E....,Active,Monitor,70.0,C,Operational
83050796,DISCOONECTION RECONNECTION REGISTER T.351[S&T],Slow Moving,Very Slow Moving,118.0,C,Operational
83050280,VEHICLE LOG BOOK (CE-485Staff Car Log BookA4B/SLPrinting in Bi-lingual (Hindi and En....,Slow Moving,Very Slow Moving,0.0,C,Operational
83049400,PLAIN COPIER PAPER GSM 80+/-4% IN SIZE OF 210 X 297 MM (A4 SIZE) CONFORMING TO IS:14490/19....,Active,Active,3156.94,C,Operational
83042416,"PAPER DUPLICATING WHITE SEMI ABSORBENT SIZE A3,75 GSM TO 29.7 X 42 CM 9.35 KGS PER 1000 SH....",Active,Monitor,284.41,C,Operational
83031091,CA-52Register of Expenditure of New Minor workA4B/SBKSPrinting in Bi-lingual (Hindi a....,Dead Stock,Dead Stock,0.0,C,Operational
461994153135,JOINT INSPECTION (POINT & CROSSING),Slow Moving,Very Slow Moving,0.0,C,Operational
829001030023,NON STOCK INDENT 1302 A ( Pink+White),Slow Moving,Very Slow Moving,0.0,C,Operational
