PL_Code,Description,Current_Stock,Unit,Unit_Cost,Inventory_Value,Last_Receipt_Date,Last_Issue_Date,Days_Since_Movement,Inventory_Aging_Class,Movement_Status,Inventory_Value_Band,Depot,Operational_ABC
787900404050,SICKLE,0.0,Nos.,50.0,0.0,19-10-2021,,1692,Dead Stock,Dead Stock,"< Rs 10,000",SSE/S/SRM/TPJ077355-S AND T-SR,C
727902100014,SOLDERING IRON,2.0,Nos.,50.0,100.0,24-07-2024,27-07-2024,680,Very Slow Moving,Slow Moving,"< Rs 10,000",SSE/S/SRM/TPJ077355-S AND T-SR,C
727902129831,SPANNER ADJUSTABLE,4.0,Nos.,15.0,60.0,19-10-2021,,1692,Dead Stock,Dead Stock,"< Rs 10,000",SSE/S/SRM/TPJ077355-S AND T-SR,C
560605111783,SPANNER DOUBLE ENDED,27.0,Nos.,12.0,324.0,19-10-2021,14-11-2022,1301,Dead Stock,Dead Stock,"< Rs 10,000",SSE/S/SRM/TPJ077355-S AND T-SR,C
721429140016,SPANNER DOUBLE END SET,3.0,Nos.,125.0,375.0,19-10-2021,,1692,Dead Stock,Dead Stock,"< Rs 10,000",SSE/S/SRM/TPJ077355-S AND T-SR,C
721801220010,SPANNER RING OF SIZES,23.0,Nos.,12.0,276.0,19-10-2021,,1692,Dead Stock,Dead Stock,"< Rs 10,000",SSE/S/SRM/TPJ077355-S AND T-SR,C
560605076692,Spanner Ring Set,22.0,Nos.,115.0,2530.0,19-10-2021,,1692,Dead Stock,Dead Stock,"< Rs 10,000",SSE/S/SRM/TPJ077355-S AND T-SR,C
783000550016,STOOL WOODEN,3.0,Nos.,175.0,525.0,19-10-2021,,1692,Dead Stock,Dead Stock,"< Rs 10,000",SSE/S/SRM/TPJ077355-S AND T-SR,C
469034151893,TABLE STEEL OFF SIZE,3.0,Nos.,300.0,900.0,19-10-2021,,1692,Dead Stock,Dead Stock,"< Rs 10,000",SSE/S/SRM/TPJ077355-S AND T-SR,C
783000630991,TABLE WOODEN  SIZES- 6x3x2.6,1.0,Nos.,300.0,300.0,30-10-2024,13-02-2025,479,Very Slow Moving,Slow Moving,"< Rs 10,000",SSE/S/SRM/TPJ077355-S AND T-SR,C
725051380318,TAPE MEASURING,2.0,Nos.,100.0,200.0,19-10-2021,,1692,Dead Stock,Dead Stock,"< Rs 10,000",SSE/S/SRM/TPJ077355-S AND T-SR,C
