PL_Code,Description,Current_Stock,Inventory_Value,Days_Since_Movement,Depot,Inventory_Domain,Business_Unit,Division,Snapshot_Date,Pipeline_Version
563047090019,Ground Connection For IRS Point Machine TWS 220 MM ( Complete set ),0.0,0.0,1258,SSE/S/SRM/SA067532-S AND T-SR,Railway_Operations,SA,Salem,2026-03-31,12.5.0
539895630018,TLD BOX ( FRP TYPE ),0.0,0.0,1222,SSE/S/SRM/SA067532-S AND T-SR,Railway_Operations,SA,Salem,2026-03-31,12.5.0
565010000010,CLS Pole 3.6 Mts Long,0.0,0.0,1131,SSE/S/SRM/SA067532-S AND T-SR,Railway_Operations,SA,Salem,2026-03-31,12.5.0
561301001009,Filter Unit for Block Instrument,0.0,0.0,815,SSE/S/SRM/SA067532-S AND T-SR,Railway_Operations,SA,Salem,2026-03-31,12.5.0
56452032,RELAY QN1 12F/4B PLUG IN TYPE,0.0,0.0,970,SSE/S/SRM/SA067532-S AND T-SR,Railway_Operations,SA,Salem,2026-03-31,12.5.0
560403031466,Rx Coil 21/25KHZ-15 Mtrs cable length for G.G.TRONICS make HASSDAC,0.0,0.0,1056,SSE/S/SRM/SA067532-S AND T-SR,Railway_Operations,SA,Salem,2026-03-31,12.5.0
560404462394,Tx Coil 21/25KHZ-15 Mtrs cable length for G.G.TRONICS make HASSDAC,0.0,0.0,978,SSE/S/SRM/SA067532-S AND T-SR,Railway_Operations,SA,Salem,2026-03-31,12.5.0
564600010017,MULTI LAMP ROUTE INDICATOR (LED MATRIX TYPE ),0.0,0.0,1373,SSE/S/SRM/SA067532-S AND T-SR,Railway_Operations,SA,Salem,2026-03-31,12.5.0
565100510012,ELECTRIC TRACK DRILLING MACHINE 110V/50Hz WITH MOUNTING STAND,0.0,0.0,1283,SSE/S/SRM/SA067532-S AND T-SR,Railway_Operations,SA,Salem,2026-03-31,12.5.0
560403031454,Rx Coil 21/25KHZ-25 Mtrs cable length for G.G.TRONICS make HASSDAC,0.0,0.0,1058,SSE/S/SRM/SA067532-S AND T-SR,Railway_Operations,SA,Salem,2026-03-31,12.5.0
560402831839,TX Coil 21/25KHZ-25 Mtrs cable length for G.G.TRONICS make HASSDAC,0.0,0.0,1058,SSE/S/SRM/SA067532-S AND T-SR,Railway_Operations,SA,Salem,2026-03-31,12.5.0
563047080014,POINT MACHINE For Thick Web Switch (TWS) 220MM,0.0,0.0,1258,SSE/S/SRM/SA067532-S AND T-SR,Railway_Operations,SA,Salem,2026-03-31,12.5.0
569009690010,FIRE ALARM RELAY MODULE WITH BACK BOX as per RDSO/SPN /217 /2018 ver-2 or latest.,0.0,0.0,1349,SSE/S/SRM/SA067532-S AND T-SR,Railway_Operations,SA,Salem,2026-03-31,12.5.0
569009640017,FIRE ALARM CONDUIT PVC PIPE(25MM 3 MTS LONG),0.0,0.0,1530,SSE/S/SRM/SA067532-S AND T-SR,Railway_Operations,SA,Salem,2026-03-31,12.5.0
520800070014,Thermo Shrinkable Joint Kit for Jointing Under Ground Quad Cable,0.0,0.0,1129,SSE/S/SRM/SA067532-S AND T-SR,Railway_Operations,SA,Salem,2026-03-31,12.5.0
560604290013,Earth leakage detector with frame,0.0,0.0,906,SSE/S/SRM/SA067532-S AND T-SR,Railway_Operations,SA,Salem,2026-03-31,12.5.0
565199170010,ND Fuse 4 Amps,0.0,0.0,1937,SSE/S/SRM/SA067532-S AND T-SR,Railway_Operations,SA,Salem,2026-03-31,12.5.0
549006980012,Power Supply Arrangement for RTU and Battery 12V/40AH( 2Nos) with 7Amps (1 Nos)Charger,0.0,0.0,1546,SSE/S/SRM/SA067532-S AND T-SR,Railway_Operations,SA,Salem,2026-03-31,12.5.0
549006970018,Isolation Transformer 470:470 Ohms,0.0,0.0,1767,SSE/S/SRM/SA067532-S AND T-SR,Railway_Operations,SA,Salem,2026-03-31,12.5.0
560403210014,HASSDAC (GG Tronics Make ) Complete Set,0.0,0.0,739,SSE/S/SRM/SA067532-S AND T-SR,Railway_Operations,SA,Salem,2026-03-31,12.5.0
56502540,ND Fuse 6 Amps capacity,0.0,0.0,1511,SSE/S/SRM/SA067532-S AND T-SR,Railway_Operations,SA,Salem,2026-03-31,12.5.0
567909270014,SMPS BASED IPS FOR STATION     ( 4 Rd ),0.0,0.0,1467,SSE/S/SRM/SA067532-S AND T-SR,Railway_Operations,SA,Salem,2026-03-31,12.5.0
560405910015,RELAY QN1K ( 1000 Ohms ) 6F/6B,0.0,0.0,1789,SSE/S/SRM/SA067532-S AND T-SR,Railway_Operations,SA,Salem,2026-03-31,12.5.0
432305060018,DISTILLED WATER  PLANT WITH TWO DETACHABLE HEATING ELEMENTS OF 1500 WATTS WITH FIBRE TANK ....,0.0,0.0,1707,SSE/S/SRM/SA067532-S AND T-SR,Railway_Operations,SA,Salem,2026-03-31,12.5.0
